Country,Life_Exp,Mean_Years_School,Surface,Births_by_Professionals,Water_Productivity,Inflation,Mortality_Rate,GDP_Growth,Ease_Business,Out_Of_School_Primary,Master_DG_Over_25,Migrants,Forested,GDP_Per_Capita,Start_UP_Procedures,Broad_Band
Switzerland,83.9872,13.85966015,41290.39,100,331.0703416,-1.143908672,4.3,2.013916952,76.61864,0.39,20.13434029,4.567482777,30.31964581,0.45312908,0.222222222,0.620591402
Norway,83.2339,13.00362968,625184.78,99.1,134.4362963,2.171136654,2.7,1.733220512,82.62729,0.19380188,11.54901981,4.101347553,19.41985856,0.437571748,0.111111111,0.587236022
Iceland,82.6782,13.76716995,103000,98.2,53.66164959,1.633055582,2.3,2.856131638,78.96154,0.39,16.86708069,-0.580990881,0.467572816,0.376803896,0.166666667,0.554115396
Australia,84.5265,12.72681999,7741220,98.8,79.16112027,1.508366722,3.9,3.01721171,81.21506,3.217002869,9.396039963,3.843836823,17.19296183,0.332014642,0.055555556,0.475799236
Denmark,81.3753,12.96049023,42920,95.4,395.8007108,0.452034154,4.1,1.135284833,85.28856,0.979103088,13.47716045,1.824242287,14.55452004,0.408171463,0.166666667,0.5962688
Sweden,82.9833,12.60972023,528449.29,100,181.5400712,-0.046784745,2.9,2.382742205,81.99155,0.392868042,11.84988976,2.438197083,52.94736984,0.367955886,0.055555556,0.5517991
Ireland,81.9976,11.58222303,70280,99.7,215.8290118,-0.289879079,3.7,4.672432057,79.57614,0.029838562,11.37664986,-2.223824288,10.73804781,0.516346851,0.111111111,0.409487977
Germany,80.6301,14.09096691,357410,97.1,115.5858577,0.51442054,3.9,1.270265945,79.71004,0.218139648,11.19859028,2.332001292,31.94930192,0.368262822,0.388888889,0.576328465
Netherlands,81.6873,12.58162975,41540,100,69.15012502,0.600248147,4,1.361535986,76.10376,0.334587097,13.13615036,0.357528957,8.782619162,0.378154779,0.111111111,0.585551772
Finland,82.0381,12.87362003,338446,99.7,58.99190942,-0.20792884,2.5,1.532230181,80.17834,0.87651062,12.70199013,1.469153126,66.2114488,0.333477589,0.055555556,0.444226262
Singapore,82.7545,11.92488003,719,99.7,285.9280931,-0.522618167,2.7,5.666578083,86.1981,0.058769226,12.34557692,5.813223861,22.90876217,0.617304215,0.055555556,0.344071053
Belgium,81.8787,12.37567997,30530,100,83.77471285,0.561429153,4.1,1.717923862,74.98904,1.337806702,12.7279058,2.23226298,22.57779234,0.352925047,0.166666667,0.544649295
New Zealand,82.4513,12.94468975,267710,96.3,21.35717486,0.292704628,5.5,2.742608534,86.76465,1.477272034,6.230690002,1.77439191,36.7808823,0.296551306,-0.055555556,0.488012919
Canada,82.6565,13.83442722,9879750,97.9,40.31175444,1.125241361,5.4,2.839812457,79.64043,0.037757874,7.098740101,3.245862298,35.13405805,0.315378901,0,0.559085313
Liechtenstein,83.2575,12.53854,160,100,20.18054562,1.44,19.1,2.003440186,64.84421,0.54633522,8.685778636,-22.55058295,41.875,1,0.277777778,0.631207162
Luxembourg,82.6287,13.01519217,2590,99.9,1243.886768,0.474743161,2.8,2.979223408,69.6031,0.610897303,7.338402913,7.621074374,34.24710425,0.574393472,0.166666667,0.500880223
United Kingdom,80.7422,13.4061203,243610,100,342.4539875,0.368046842,4.5,1.798519625,83.54968,0.236557007,13.57565975,1.931230151,12.95102828,0.304542192,0.111111111,0.536787999
Japan,84.7839,13.36610034,377971,99.9,53.09595109,0.795279631,2.7,0.875941285,77.99983,1.200057983,9.866613767,0.284952626,65.99448106,0.284347008,0.333333333,0.463862768
Korea (Republic of),83.6978,12.51293027,100295,100,45.86440988,0.706331772,3.5,4.451903069,84.00083,0.688181669,10.26022548,0.775309617,63.18360836,0.299587749,0.111111111,0.580652413
United States,77.1982,13.68342972,9831510,99.1,39.66169965,0.118627136,6.8,2.034406349,83.99668,4.107940674,14.13860035,1.494971229,31.54093318,0.438291189,0.222222222,0.488116937
Israel,82.255,13.3448664,22070,100,213.0234718,-0.634390651,3.9,3.79589329,76.67572,2.947418213,12.75197983,0.208212302,7.476212053,0.279209712,0.166666667,0.400834687
Malta,83.7769,12.21026039,320,99.8,222.2850147,1.100548264,6.6,4.468157788,66.13941,2.430198669,9.475159645,2.999792984,1.09375,0.261144519,0.444444444,0.644464224
Slovenia,80.6904,12.80368042,20675,99.8,44.68336721,-0.525552286,2.6,2.107157009,76.51751,2.23500824,16.2364006,0.786471046,60.36275695,0.267041685,0,0.417908246
Austria,81.5797,12.25669003,83879,98.5,107.6089117,0.896563335,3.7,1.51462619,78.74549,1.80703247,12.07262993,2.983069196,46.27129556,0.361996166,0.333333333,0.385799813
United Arab Emirates,78.7104,12.69402981,98647.9,99.9,115.2094001,4.069966084,7.6,4.776039852,80.75261,2.821350098,10.80467987,2.702409739,3.216490164,0.423290131,0.222222222,0.437477735
Spain,83.01,10.60540009,505924,99.9,31.35407952,-0.50036571,3.3,1.666931167,77.93588,1.469993591,14.19274998,-1.099679764,36.6679185,0.257510966,0.277777778,0.461656974
France,82.4988,11.61005974,549087,97.7,84.65955497,0.037514381,4.2,1.357215178,76.80465,0.890846252,10.51393032,0.627903889,30.66180769,0.309417601,0.166666667,0.625613658
Cyprus,81.2033,12.44017029,9251,97.1,81.94966209,-2.096997691,2.9,1.972306994,73.35105,2.171661377,13.42586994,1.851696463,18.66933305,0.256380354,0.222222222,0.498618619
Italy,82.8502,10.7401104,302069,99.9,54.63436168,0.0387904,3.5,0.236219819,72.85055,1.387809753,12.96475029,2.772090141,30.77800105,0.288215804,0.277777778,0.39978475
Estonia,77.1436,13.54843044,45340,99.7,13.18436141,-0.492326007,3.1,3.977213119,80.61685,1.901737556,21.24132919,-0.791120433,53.39677989,0.255421012,0.055555556,0.417739952
Czechia,77.7283,12.86931038,78870,99.8,94.84488594,0.309364548,3.2,2.812163591,76.34054,1.835679917,16.00156021,0.560539101,33.83276277,0.260191444,0.333333333,0.478778949
Greece,80.1106,11.40853024,131960,99.94,20.14858044,-1.735888048,4.4,0.173010451,68.42391,1.785763877,6.850419998,-1.517164127,29.56807366,0.19350515,0.166666667,0.544565409
Poland,76.4572,13.1647501,312680,99.9,38.22804358,-0.874125874,4.9,3.664501813,76.38122,4.403091431,21.89410973,-0.849119389,30.12664705,0.221099489,0.166666667,0.294846937
Bahrain,78.7605,11.04658985,778,99.9,145.0094919,1.848627424,7.6,4.814397399,76.02665,2.099739075,2.043410063,2.402340566,0.771208226,0.26533891,0.277777778,0.116698157
Lithuania,73.7201,13.49810028,65286,100,70.56828555,-0.884097406,4.9,4.299003749,81.61948,0.255271912,14.59095001,-5.230776716,33.49875931,0.254620452,0.111111111,0.390266671
Saudi Arabia,76.936,11.31052971,2149690,98,27.32928645,1.206073222,9.1,4.131364979,70.87175,2.538322449,3.590569973,4.874846777,0.454484135,0.310611996,0.666666667,0.302188401
Portugal,81.0443,9.575940132,92225.6,99.9,22.25874665,0.487938624,3.6,0.446586136,76.46616,3.568649292,16.19050026,-1.359299448,35.91193768,0.221924775,0.222222222,0.544070314
Latvia,73.5786,13.25271988,64594,99.9,101.7184744,0.174242244,5,3.990910925,80.28054,3.207450867,17.03336906,-4.424738817,52.50394774,0.219520229,0.111111111,0.346778016
Croatia,77.5804,12.19108434,88073,99.9,74.54798695,-0.464499005,4.9,1.76922769,73.62096,3.027839661,13.34128977,-0.987253142,21.82280608,0.201238338,0.333333333,0.334845618
